N,L,R,D,cfmindex_time,2fmindex_time,cfmindex_acc,2fmindex_acc
1000,32,1,0,2,2,96.0,96.0
1000,32,1,1,2,4,92.8,92.8
1000,32,1,2,5,8,89.6,89.6
1000,32,3,0,2,2,99.2,99.2
1000,32,3,1,5,7,96.0,96.0
1000,32,3,2,11,22,99.2,99.2
1000,32,5,0,4,3,99.4,99.4
1000,32,5,1,7,11,96.2,96.2
1000,32,5,2,17,37,99.3,99.2
1000,64,1,0,2,2,89.6,89.6
1000,64,1,1,2,2,76.8,0.0
1000,64,1,2,3,4,83.2,83.2
1000,64,3,0,2,2,97.2,97.2
1000,64,3,1,4,4,98.6,98.6
1000,64,3,2,6,10,96.0,96.0
1000,64,5,0,3,2,99.2,99.2
1000,64,5,1,5,7,98.6,98.6
1000,64,5,2,9,19,98.8,98.8
1000,128,1,0,2,1,89.6,0.0
1000,128,1,1,2,2,76.8,0.0
1000,128,1,2,3,2,89.6,89.6
1000,128,3,0,2,2,89.6,77.0
1000,128,3,1,3,3,83.2,64.0
1000,128,3,2,5,6,96.7,94.0
1000,128,5,0,3,2,95.9,89.6
1000,128,5,1,4,4,83.3,80.0
1000,128,5,2,6,12,96.7,94.8
5000,32,1,0,12,9,99.2,99.2
5000,32,1,1,15,22,89.6,0.0
5000,32,1,2,37,99,97.92,0.0
5000,32,3,0,15,13,99.36,99.36
5000,32,3,1,29,54,96.92,94.72
5000,32,3,2,94,289,98.86,96.24
5000,32,5,0,19,16,99.42,99.36
5000,32,5,1,42,87,99.28,96.4
5000,32,5,2,150,472,99.08,96.24
5000,64,1,0,11,7,98.56,0.0
5000,64,1,1,14,14,97.28,0.0
5000,64,1,2,24,53,98.56,0.0
5000,64,3,0,15,10,99.84,99.84
5000,64,3,1,21,28,98.84,0.0
5000,64,3,2,53,156,99.84,99.28
5000,64,5,0,17,13,99.84,99.84
5000,64,5,1,29,48,99.02,97.2
5000,64,5,2,84,240,99.84,99.28
5000,128,1,0,11,6,97.28,0.0
5000,128,1,1,12,11,84.48,84.48
5000,128,1,2,18,29,97.28,0.0
5000,128,3,0,14,7,98.16,0.0
5000,128,3,1,17,19,86.18,85.28
5000,128,3,2,32,75,98.68,92.16
5000,128,5,0,17,10,99.84,97.28
5000,128,5,1,22,29,91.1,90.56
5000,128,5,2,48,121,98.68,92.16
10000,32,1,0,23,18,99.84,99.84
10000,32,1,1,35,54,97.6,97.6
10000,32,1,2,90,286,97.6,0.0
10000,32,3,0,32,26,99.94,99.94
10000,32,3,1,67,133,97.88,97.88
10000,32,3,2,239,830,99.54,0.0
10000,32,5,0,40,34,99.94,99.94
10000,32,5,1,94,208,98.76,97.88
10000,32,5,2,375,1389,99.9,97.7
10000,64,1,0,23,18,99.2,99.2
10000,64,1,1,29,31,89.6,0.0
10000,64,1,2,57,152,97.92,97.92
10000,64,3,0,30,22,99.36,99.36
10000,64,3,1,48,73,96.93,96.88
10000,64,3,2,129,427,98.86,98.86
10000,64,5,0,37,26,99.41,99.36
10000,64,5,1,63,114,99.27,99.2
10000,64,5,2,202,710,99.08,99.08
10000,128,1,0,23,16,98.56,98.56
10000,128,1,1,26,25,97.28,97.28
10000,128,1,2,39,80,98.56,0.0
10000,128,3,0,29,23,99.84,99.84
10000,128,3,1,37,50,98.84,98.84
10000,128,3,2,82,218,99.84,94.72
10000,128,5,0,34,27,99.84,99.84
10000,128,5,1,48,71,99.02,99.02
10000,128,5,2,116,355,99.84,94.72
50000,32,1,0,133,95,99.97,99.97
50000,32,1,1,210,376,96.7,96.7
50000,32,1,2,691,2757,94.21,0.0
50000,32,3,0,178,139,99.98,99.97
50000,32,3,1,407,934,98.68,98.68
50000,32,3,2,1859,8145,99.07,97.92
50000,32,5,0,218,183,99.98,99.97
50000,32,5,1,603,1527,98.68,98.68
50000,32,5,2,3020,13588,99.35,98.67
50000,64,1,0,131,92,99.84,99.84
50000,64,1,1,175,235,97.41,97.41
50000,64,1,2,440,1491,94.08,94.08
50000,64,3,0,165,107,99.97,99.84
50000,64,3,1,283,508,99.82,97.41
50000,64,3,2,1004,4125,99.49,94.08
50000,64,5,0,199,150,99.97,99.9
50000,64,5,1,397,786,99.86,97.41
50000,64,5,2,1591,6782,99.51,94.08
50000,128,1,0,129,86,99.84,99.84
50000,128,1,1,147,137,97.28,0.0
50000,128,1,2,266,750,93.95,93.95
50000,128,3,0,161,109,99.85,99.85
50000,128,3,1,218,283,99.24,0.0
50000,128,3,2,583,2123,98.35,97.46
50000,128,5,0,190,141,99.88,99.88
50000,128,5,1,290,437,99.39,95.49
50000,128,5,2,891,3457,99.34,97.46
100000,32,1,0,281,176,99.97,0.0
100000,32,1,1,462,814,96.03,0.0
100000,32,1,2,1659,7380,95.42,95.74
100000,32,3,0,372,268,99.97,99.97
100000,32,3,1,899,2180,99.85,97.06
100000,32,3,2,4480,21942,99.12,99.12
100000,32,5,0,465,387,99.98,99.98
100000,32,5,1,1383,3536,99.95,98.95
100000,32,5,2,7314,36149,99.48,99.52
100000,64,1,0,282,191,99.97,99.97
100000,64,1,1,362,475,96.45,0.0
100000,64,1,2,966,3783,94.59,94.59
100000,64,3,0,347,222,99.98,99.97
100000,64,3,1,617,1205,98.7,98.63
100000,64,3,2,2394,10953,99.11,94.59
100000,64,5,0,422,284,99.98,99.97
100000,64,5,1,867,1900,98.7,98.68
100000,64,5,2,3823,18194,99.84,99.17
100000,128,1,0,268,181,99.84,99.84
100000,128,1,1,315,310,97.66,0.0
100000,128,1,2,611,1990,98.05,98.05
100000,128,3,0,333,199,99.97,99.84
100000,128,3,1,472,674,99.82,95.1
100000,128,3,2,1354,5613,99.64,99.12
100000,128,5,0,420,251,99.97,99.85
100000,128,5,1,622,1010,99.86,95.1
100000,128,5,2,2102,9252,99.66,99.65
500000,32,1,0,1514,951,99.99,0.0
500000,32,1,1,2731,5428,94.31,0.0
500000,32,1,2,12559,64620,95.53,95.76
500000,32,3,0,2143,1521,100.0,99.99
500000,32,3,1,5810,15547,99.18,96.26
500000,32,3,2,36950,195033,97.54,97.7
500000,32,5,0,2662,2014,100.0,100.0
500000,32,5,1,8744,24716,99.68,99.47
500000,32,5,2,58983,320419,99.65,98.54
500000,64,1,0,1493,868,99.98,0.0
500000,64,1,1,2089,3304,93.47,93.47
500000,64,1,2,7028,33303,94.57,0.0
500000,64,3,0,1942,1238,99.99,99.99
500000,64,3,1,3775,8130,99.46,99.15
500000,64,3,2,18469,98615,98.59,96.36
500000,64,5,0,2377,1567,100.0,99.99
500000,64,5,1,5438,13019,99.48,99.16
500000,64,5,2,29837,161234,99.86,99.73
500000,128,1,0,1494,991,99.97,99.97
500000,128,1,1,1781,2131,94.31,94.31
500000,128,1,2,4227,17143,95.08,0.0
